lan@fedora:~/Programs/side_channel_leakage$ sudo python basic_pyshark.py 

Please enter the name of the interface: wlp0s20f0u1u1
2026-05-01 22:11:34,563 - LiveCapture - DEBUG - Creating Dumpcap subprocess with parameters: /usr/sbin/dumpcap -q -i wlp0s20f0u1u1 -w -
2026-05-01 22:11:34,564 - LiveCapture - DEBUG - Dumpcap subprocess (pid 25598) created
2026-05-01 22:11:34,765 - LiveCapture - DEBUG - Creating TShark subprocess with parameters: /usr/sbin/tshark -l -n -T pdml -Y (wlan.fc.type_subtype == 0x00||  wlan.fc.type_subtype == 0x04 || wlan.fc.type_subtype == 0x05 ) -i -
2026-05-01 22:11:34,765 - LiveCapture - DEBUG - Executable: /usr/sbin/tshark
2026-05-01 22:11:34,765 - LiveCapture - DEBUG - Capturing on 'wlp0s20f0u1u1'
2026-05-01 22:11:34,766 - LiveCapture - DEBUG - File: -
2026-05-01 22:11:34,766 - LiveCapture - DEBUG - TShark subprocess (pid 25622) created
2026-05-01 22:11:34,817 - LiveCapture - DEBUG - Running as user "root" and group "root". This could be dangerous.
2026-05-01 22:11:34,962 - LiveCapture - DEBUG - Capturing on 'Standard input'
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-50' dBm | Distance: '1.74' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-50' dBm | Distance: '1.74' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-54' dBm | Distance: '2.51' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-54' dBm | Distance: '2.51' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-50' dBm | Distance: '1.74' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-50' dBm | Distance: '1.74' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-54' dBm | Distance: '2.51' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-54' dBm | Distance: '2.51' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-52' dBm | Distance: '2.09' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-52' dBm | Distance: '2.09' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-52' dBm | Distance: '2.09' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-52' dBm | Distance: '2.09' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-50' dBm | Distance: '1.74' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-50' dBm | Distance: '1.74' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-54' dBm | Distance: '2.51' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-54' dBm | Distance: '2.51' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-48' dBm | Distance: '1.45' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-48' dBm | Distance: '1.45' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-48' dBm | Distance: '1.45' m
SubType: '4'   | MAC: '9a:ad:4c:09:16:d1' | SSID: 'TP-Link_D5C0'| Dest BSSID : 'ff:ff:ff:ff:ff:ff' | Signal: '-48' dBm | Distance: '1.45' m
^C2026-05-01 22:13:12,190 - LiveCapture - DEBUG - Cleanup Subprocess (pid 25622)
2026-05-01 22:13:12,191 - LiveCapture - DEBUG - Packets captured: 2665
2026-05-01 22:13:12,191 - LiveCapture - DEBUG - Packets received/dropped on interface 'wlp0s20f0u1u1': 2665/0 (pcap:0/dumpcap:0/flushed:0/ps_ifdrop:0) (100.0%)
